query_system	query_ligand_id	target_system	target_ligand_id	protein_mapping	protein_mapper	similarity	source	metric	mapping
a71ev2a-x4202a__1__1.A__1.X	a71ev2a-x4202a__1__1.X	7da6__1__1.A__1.B	7da6__1__1.B	1.A:1.A	foldseek	44		sucos_shape_pocket_qcov	
a71ev2a-x4959b__1__1.C__1.X	a71ev2a-x4959b__1__1.X	3zz7__1__1.A__1.B	3zz7__1__1.B	1.C:1.A	foldseek	44		sucos_shape_pocket_qcov	
a71ev2a-x0469a__1__1.A__1.X	a71ev2a-x0469a__1__1.X	7da6__1__1.A__1.B	7da6__1__1.B	1.A:1.A	foldseek	37		sucos_shape_pocket_qcov	
a71ev2a-x5758b__1__1.C__1.X	a71ev2a-x5758b__1__1.X	6ku8__1__1.A__1.B	6ku8__1__1.B	1.C:1.A	foldseek	48		sucos_shape_pocket_qcov	
a71ev2a-x1081b__1__1.A__1.X	a71ev2a-x1081b__1__1.X	6t71__1__1.B__1.F	6t71__1__1.F	1.A:1.B	foldseek	24		sucos_shape_pocket_qcov	
a71ev2a-x4650a__1__1.A__1.X	a71ev2a-x4650a__1__1.X	3zzc__1__1.A__1.B	3zzc__1__1.B	1.A:1.A	foldseek	42		sucos_shape_pocket_qcov	
a71ev2a-x4202b__1__1.C__1.X	a71ev2a-x4202b__1__1.X	5c1x__2__1.B__1.D	5c1x__2__1.D	1.C:1.B	foldseek	44		sucos_shape_pocket_qcov	
a71ev2a-x3706a__1__1.A__1.X	a71ev2a-x3706a__1__1.X	7da6__1__1.A__1.B	7da6__1__1.B	1.A:1.A	foldseek	50		sucos_shape_pocket_qcov	
a71ev2a-x4751a__1__1.A__1.X	a71ev2a-x4751a__1__1.X	3ruo__1__1.A__1.C	3ruo__1__1.C	1.A:1.A	foldseek	49		sucos_shape_pocket_qcov	
a71ev2a-x4880a__1__1.A__1.X	a71ev2a-x4880a__1__1.X	7ara__1__1.A__1.C	7ara__1__1.C	1.A:1.A	foldseek	44		sucos_shape_pocket_qcov	
