query_system	query_ligand_id	target_system	target_ligand_id	protein_mapping	protein_mapper	similarity	source	metric	mapping
4050b__1__1.B__1.X	4050b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	49		sucos_shape_pocket_qcov	
1769a__1__1.A__1.X	1769a__1__1.X	4zv3__1__1.B__1.E	4zv3__1__1.E	1.A:1.B	foldseek	40		sucos_shape_pocket_qcov	
1620a__1__1.A__1.X	1620a__1__1.X	9grr__1__1.A__1.B	9grr__1__1.B	1.A:1.A	foldseek	74		sucos_shape_pocket_qcov	
1295a__1__1.A__1.X	1295a__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.A:1.A	foldseek	32		sucos_shape_pocket_qcov	
4068a__1__1.A__1.X	4068a__1__1.X	8qs0__1__1.A__1.E	8qs0__1__1.E	1.A:1.A	foldseek	63		sucos_shape_pocket_qcov	
1231b__1__1.A__1.X	1231b__1__1.X	3b7k__1__1.A__1.D	3b7k__1__1.D	1.A:1.A	foldseek	48		sucos_shape_pocket_qcov	
4223c__1__1.A__1.X	4223c__1__1.X	4zv3__1__1.A__1.D	4zv3__1__1.D	1.A:1.A	foldseek	46		sucos_shape_pocket_qcov	
1228a__1__1.A_1.B__1.X	1228a__1__1.X	5hmc__1__1.A_2.A__1.B	5hmc__1__1.B	1.A:2.A;1.B:1.A	foldseek	23		sucos_shape_pocket_qcov	
1456a__1__1.A__1.X	1456a__1__1.X	6vfy__1__1.A__1.D	6vfy__1__1.D	1.A:1.A	foldseek	54		sucos_shape_pocket_qcov	
1365d__1__1.A_1.B__1.X	1365d__1__1.X	3nwz__1__1.B_1.C_1.D__1.F	3nwz__1__1.F	1.B:1.D;1.A:1.C	foldseek	33		sucos_shape_pocket_qcov	
1365a__1__1.A__1.X	1365a__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	47		sucos_shape_pocket_qcov	
4138a__1__1.A__1.X	4138a__1__1.X	6x7p__1__1.A_2.A__1.B_1.C_1.D	6x7p__1__1.B	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
1295b__1__1.B__1.X	1295b__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.B:1.A	foldseek	28		sucos_shape_pocket_qcov	
1536b__1__1.B__1.X	1536b__1__1.X	4zv3__1__1.B__1.E	4zv3__1__1.E	1.B:1.B	foldseek	43		sucos_shape_pocket_qcov	
1758a__1__1.A__1.X	1758a__1__1.X	4zv3__1__1.B__1.E	4zv3__1__1.E	1.A:1.B	foldseek	51		sucos_shape_pocket_qcov	
2110a__1__1.A__1.X	2110a__1__1.X	9ccr__1__1.A_1.B_1.D__1.E_1.L	9ccr__1__1.L	1.A:1.A	foldseek	24		sucos_shape_pocket_qcov	
4198d__1__1.B__1.X	4198d__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	50		sucos_shape_pocket_qcov	
2059a__1__1.A__1.X	2059a__1__1.X	8qs0__1__1.A__1.E	8qs0__1__1.E	1.A:1.A	mmseqs	52		sucos_shape_pocket_qcov	
1504a__1__1.A__1.X	1504a__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.A:1.B	foldseek	67		sucos_shape_pocket_qcov	
1779a__1__1.A__1.X	1779a__1__1.X	8qs0__2__1.D__1.H	8qs0__2__1.H	1.A:1.D	foldseek	32		sucos_shape_pocket_qcov	
1285a__1__1.A__1.X	1285a__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.A:1.B	foldseek	47		sucos_shape_pocket_qcov	
1985f__1__1.A__1.X	1985f__1__1.X	4zv3__1__1.A__1.D	4zv3__1__1.D	1.A:1.A	foldseek	31		sucos_shape_pocket_qcov	
4040b__1__1.A__1.X	4040b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	58		sucos_shape_pocket_qcov	
1457a__1__1.A__1.X	1457a__1__1.X	3b7k__1__1.A__1.D	3b7k__1__1.D	1.A:1.A	foldseek	51		sucos_shape_pocket_qcov	
4103b__1__1.A__1.X	4103b__1__1.X	9gs1__1__1.B__1.E	9gs1__1__1.E	1.A:1.B	foldseek	66		sucos_shape_pocket_qcov	
1231d__1__1.B__1.X	1231d__1__1.X	6vfy__1__1.C__1.F	6vfy__1__1.F	1.B:1.C	foldseek	53		sucos_shape_pocket_qcov	
4070a__1__1.A__1.X	4070a__1__1.X	8qs0__2__1.D__1.H	8qs0__2__1.H	1.A:1.D	foldseek	52		sucos_shape_pocket_qcov	
1747b__1__1.A__1.X	1747b__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.A:1.A	foldseek	35		sucos_shape_pocket_qcov	
4120b__1__1.A__1.X	4120b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	48		sucos_shape_pocket_qcov	
4078a__1__1.B__1.X	4078a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	59		sucos_shape_pocket_qcov	
1201a__1__1.A__1.X	1201a__1__1.X	4rlw__1__1.A_1.B__1.C	4rlw__1__1.C	1.A:1.A	foldseek	31		sucos_shape_pocket_qcov	
4231a__1__1.B__1.X	4231a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	60		sucos_shape_pocket_qcov	
1918a__1__1.A__1.X	1918a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	64		sucos_shape_pocket_qcov	
4024d__1__1.A_1.B__1.X	4024d__1__1.X	9gs1__1__1.B__1.E	9gs1__1__1.E	1.A:1.B	foldseek	29		sucos_shape_pocket_qcov	
1657b__1__1.B__1.X	1657b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	54		sucos_shape_pocket_qcov	
1946a__1__1.A__1.X	1946a__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.A:1.A	foldseek	24		sucos_shape_pocket_qcov	
4075b__1__1.A_1.B__1.X	4075b__1__1.X	9hly__1__1.B__1.F	9hly__1__1.F	1.A:1.B	foldseek	34		sucos_shape_pocket_qcov	
4192a__1__1.A__1.X	4192a__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	48		sucos_shape_pocket_qcov	
4034a__1__1.A__1.X	4034a__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	47		sucos_shape_pocket_qcov	
1365b__1__1.B__1.X	1365b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	46		sucos_shape_pocket_qcov	
4223d__1__1.A__1.X	4223d__1__1.X	4zv3__1__1.C__1.F	4zv3__1__1.F	1.A:1.C	foldseek	37		sucos_shape_pocket_qcov	
1684b__1__1.B__1.X	1684b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	41		sucos_shape_pocket_qcov	
2085a__1__1.A__1.X	2085a__1__1.X	4zv3__1__1.B__1.E	4zv3__1__1.E	1.A:1.B	foldseek	52		sucos_shape_pocket_qcov	
4138b__1__1.A__1.X	4138b__1__1.X	8qs0__1__1.B__1.F	8qs0__1__1.F	1.A:1.B	foldseek	64		sucos_shape_pocket_qcov	
1168c__1__1.A_1.B__1.X	1168c__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.B:1.A	foldseek	14		sucos_shape_pocket_qcov	
1946b__1__1.B__1.X	1946b__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.B:1.A	foldseek	36		sucos_shape_pocket_qcov	
x4004-a__1__1.A__1.X	x4004-a__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.A:1.A	foldseek	29		sucos_shape_pocket_qcov	
4024e__1__1.A_1.B__1.X	4024e__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.B:1.A	foldseek	34		sucos_shape_pocket_qcov	
1212a__1__1.A_1.B__1.X	1212a__1__1.X	5hmc__1__1.A_2.A__1.B	5hmc__1__1.B	1.A:2.A;1.B:1.A	foldseek	22		sucos_shape_pocket_qcov	
1365c__1__1.A_1.B__1.X	1365c__1__1.X	4k4c__2__1.B_1.C__1.F	4k4c__2__1.F	1.A:1.B;1.B:1.C	foldseek	29		sucos_shape_pocket_qcov	
1979b__1__1.B__1.X	1979b__1__1.X	6x7p__1__1.A_2.A__1.B_1.C_1.D	6x7p__1__1.B	1.B:1.A	foldseek	36		sucos_shape_pocket_qcov	
2053a__1__1.A__1.X	2053a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	51		sucos_shape_pocket_qcov	
1629a__1__1.A__1.X	1629a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	32		sucos_shape_pocket_qcov	
1174a__1__1.A__1.X	1174a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	mmseqs	56		sucos_shape_pocket_qcov	
4223a__1__1.B__1.X	4223a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	29		sucos_shape_pocket_qcov	
2059b__1__1.B__1.X	2059b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	54		sucos_shape_pocket_qcov	
1821a__1__1.A_1.B__1.X	1821a__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.B:1.A	foldseek	10		sucos_shape_pocket_qcov	
1168b__1__1.B__1.X	1168b__1__1.X	6x7p__1__1.A_2.A__1.B_1.C_1.D	6x7p__1__1.B	1.B:1.A	foldseek	39		sucos_shape_pocket_qcov	
1231f__1__1.A_1.B__1.X	1231f__1__1.X	1pn4__1__1.A__1.E_1.F	1pn4__1__1.E	1.B:1.A	foldseek	8		sucos_shape_pocket_qcov	
1863b__1__1.A_1.B__1.X	1863b__1__1.X	1q4t__1__1.A_1.B_2.B__1.I	1q4t__1__1.I	1.B:1.A;1.A:1.B	foldseek	27		sucos_shape_pocket_qcov	
4125c__1__1.B__1.X	4125c__1__1.X	1pn4__1__1.B__1.G_1.H_1.J	1pn4__1__1.G	1.B:1.B	foldseek	34		sucos_shape_pocket_qcov	
1985e__1__1.A__1.X	1985e__1__1.X	1yli__1__1.A_1.B__1.E	1yli__1__1.E	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
1168a__1__1.A__1.X	1168a__1__1.X	6x7p__1__1.A_2.A__1.B_1.C_1.D	6x7p__1__1.B	1.A:1.A	foldseek	42		sucos_shape_pocket_qcov	
4060b__1__1.B__1.X	4060b__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.B:1.A	foldseek	52		sucos_shape_pocket_qcov	
2085d__1__1.B__1.X	2085d__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.B:1.A	foldseek	29		sucos_shape_pocket_qcov	
2057b__1__1.B__1.X	2057b__1__1.X	6vfy__1__1.B__1.E	6vfy__1__1.E	1.B:1.B	foldseek	45		sucos_shape_pocket_qcov	
1840a__1__1.A__1.X	1840a__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.A:1.A	foldseek	37		sucos_shape_pocket_qcov	
1563a__1__1.A__1.X	1563a__1__1.X	9ccr__1__1.A_1.B_1.C__1.G_1.J	9ccr__1__1.J	1.A:1.B	foldseek	23		sucos_shape_pocket_qcov	
