query_system	query_ligand_id	target_system	target_ligand_id	protein_mapping	protein_mapper	similarity	source	metric	mapping
zikv-rdrp-x0553a__1__1.A__1.X	zikv-rdrp-x0553a__1__1.X	6izx__1__1.A__1.N	6izx__1__1.N	1.A:1.A	mmseqs	34		sucos_shape_pocket_qcov	
denv2-rdrp-x1403a__1__1.A__1.X	denv2-rdrp-x1403a__1__1.X	5i3p__1__1.A__1.D	5i3p__1__1.D	1.A:1.A	foldseek	43		sucos_shape_pocket_qcov	
zikv-rdrp-x0922b__1__1.A__1.X	zikv-rdrp-x0922b__1__1.X	2brl__1__1.A__1.D	2brl__1__1.D	1.A:1.A	foldseek	33		sucos_shape_pocket_qcov	
denv2-rdrp-x0571a__1__1.A__1.X	denv2-rdrp-x0571a__1__1.X	4qpx__1__1.A__1.B_1.C_1.E_1.F_1.H	4qpx__1__1.B	1.A:1.A	foldseek	25		sucos_shape_pocket_qcov	
zikv-rdrp-x1382a__1__1.A__1.X	zikv-rdrp-x1382a__1__1.X	5i3p__1__1.A__1.D	5i3p__1__1.D	1.A:1.A	foldseek	27		sucos_shape_pocket_qcov	
5hn0-a__1__1.A__1.X	5hn0-a__1__1.X	5hn0__1__1.A__1.D	5hn0__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
zikv-rdrp-o0446a__1__1.A__1.X	zikv-rdrp-o0446a__1__1.X	3u4r__2__1.B__1.D	3u4r__2__1.D	1.A:1.B	foldseek	35		sucos_shape_pocket_qcov	
zikv-rdrp-x0041a__1__1.A__1.X	zikv-rdrp-x0041a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	45		sucos_shape_pocket_qcov	
denv2-rdrp-x1325b__1__1.A__1.X	denv2-rdrp-x1325b__1__1.X	6xez__1__1.A_1.D_1.E__1.U	6xez__1__1.U	1.A:1.A	foldseek	20		sucos_shape_pocket_qcov	
6izx-a__1__1.A__1.X	6izx-a__1__1.X	6izx__1__1.A__1.M	6izx__1__1.M	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
zikv-rdrp-x0892d__1__1.A__1.X	zikv-rdrp-x0892d__1__1.X	1nb6__2__1.B__1.F_1.G_1.H	1nb6__2__1.H	1.A:1.B	foldseek	22		sucos_shape_pocket_qcov	
zikv-rdrp-x0651a__1__1.A__1.X	zikv-rdrp-x0651a__1__1.X	4nru__5__1.E__1.P	4nru__5__1.P	1.A:1.E	foldseek	11		sucos_shape_pocket_qcov	
zikv-rdrp-x1120a__1__1.A__1.X	zikv-rdrp-x1120a__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	42		sucos_shape_pocket_qcov	
6izz-a__1__1.A__1.X	6izz-a__1__1.X	6izz__1__1.A__1.D	6izz__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
denv2-rdrp-o0685a__1__1.A__1.X	denv2-rdrp-o0685a__1__1.X	3gyn__2__1.B__1.D	3gyn__2__1.D	1.A:1.B	foldseek	36		sucos_shape_pocket_qcov	
denv2-rdrp-x0829a__1__1.A__1.X	denv2-rdrp-x0829a__1__1.X	1yvx__1__1.A__1.H_1.K	1yvx__1__1.K	1.A:1.A	foldseek	20		sucos_shape_pocket_qcov	
denv2-rdrp-x1655a__1__1.A__1.X	denv2-rdrp-x1655a__1__1.X	5i3p__1__1.A__1.D	5i3p__1__1.D	1.A:1.A	foldseek	41		sucos_shape_pocket_qcov	
zikv-rdrp-x1170a__1__1.A__1.X	zikv-rdrp-x1170a__1__1.X	6izx__1__1.A__1.N	6izx__1__1.N	1.A:1.A	mmseqs	24		sucos_shape_pocket_qcov	
zikv-rdrp-x0215a__1__1.A__1.X	zikv-rdrp-x0215a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	40		sucos_shape_pocket_qcov	
denv2-rdrp-x0471a__1__1.A__1.X	denv2-rdrp-x0471a__1__1.X	6k32__1__1.A__1.C_1.D_1.J_1.N_1.O	6k32__1__1.C	1.A:1.A	foldseek	28		sucos_shape_pocket_qcov	
denv2-rdrp-x0160d__1__1.A__1.X	denv2-rdrp-x0160d__1__1.X	6ar3__1__1.A_1.C__1.B_1.G_1.H	6ar3__1__1.B	1.A:1.A	foldseek	38		sucos_shape_pocket_qcov	
denv2-rdrp-o1342a__1__1.A__1.X	denv2-rdrp-o1342a__1__1.X	5i3q__1__1.A__1.D	5i3q__1__1.D	1.A:1.A	foldseek	40		sucos_shape_pocket_qcov	
zikv-rdrp-x0764b__1__1.A__1.X	zikv-rdrp-x0764b__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.E	1.A:1.A	foldseek	19		sucos_shape_pocket_qcov	
denv2-rdrp-x0254a__1__1.A__1.X	denv2-rdrp-x0254a__1__1.X	5jjr__1__1.A__1.E	5jjr__1__1.E	1.A:1.A	foldseek	50		sucos_shape_pocket_qcov	
zikv-rdrp-x0903b__1__1.A__1.X	zikv-rdrp-x0903b__1__1.X	1nb6__1__1.A__1.C_1.D_1.E	1nb6__1__1.E	1.A:1.A	foldseek	5		sucos_shape_pocket_qcov	
zikv-rdrp-x0812a__1__1.A__1.X	zikv-rdrp-x0812a__1__1.X	4nru__5__1.E__1.P	4nru__5__1.P	1.A:1.E	foldseek	7		sucos_shape_pocket_qcov	
denv2-rdrp-x0379b__1__1.A__1.X	denv2-rdrp-x0379b__1__1.X	2e9r__1__1.C__1.A_1.B_1.E	2e9r__1__1.B	1.A:1.C	foldseek	38		sucos_shape_pocket_qcov	
denv2-rdrp-o0423a__1__1.A__1.X	denv2-rdrp-o0423a__1__1.X	3qgg__2__1.B__1.I	3qgg__2__1.I	1.A:1.B	foldseek	60		sucos_shape_pocket_qcov	
denv2-rdrp-x1438a__1__1.A__1.X	denv2-rdrp-x1438a__1__1.X	7d4f__1__1.D__1.G	7d4f__1__1.G	1.A:1.D	foldseek	36		sucos_shape_pocket_qcov	
zikv-rdrp-x0136b__1__1.A__1.X	zikv-rdrp-x0136b__1__1.X	4nrt__1__1.A__1.B	4nrt__1__1.B	1.A:1.A	foldseek	21		sucos_shape_pocket_qcov	
6ld2-a__1__1.A__1.X	6ld2-a__1__1.X	6ld2__1__1.A__1.D	6ld2__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
denv2-rdrp-x0825c__1__1.A__1.X	denv2-rdrp-x0825c__1__1.X	1hi0__1__1.D__1.A_1.G_1.H_1.I_1.J_1.K	1hi0__1__1.A	1.A:1.D	foldseek	14		sucos_shape_pocket_qcov	
5hmw-a__1__1.A__1.X	5hmw-a__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
zikv-rdrp-x0107a__1__1.A__1.X	zikv-rdrp-x0107a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	63		sucos_shape_pocket_qcov	
zikv-rdrp-x0892b__1__1.A__1.X	zikv-rdrp-x0892b__1__1.X	2jc1__1__1.A__1.C	2jc1__1__1.C	1.A:1.A	foldseek	18		sucos_shape_pocket_qcov	
denv2-rdrp-x0472b__1__1.A__1.X	denv2-rdrp-x0472b__1__1.X	4wte__1__1.C__1.A_1.B_1.D_1.E_1.H	4wte__1__1.A	1.A:1.C	foldseek	53		sucos_shape_pocket_qcov	
denv2-rdrp-x0160a__1__1.A__1.X	denv2-rdrp-x0160a__1__1.X	6izx__1__1.A__1.M	6izx__1__1.M	1.A:1.A	foldseek	57		sucos_shape_pocket_qcov	
zikv-rdrp-x0875d__1__1.A__1.X	zikv-rdrp-x0875d__1__1.X	6izx__1__1.A__1.N	6izx__1__1.N	1.A:1.A	foldseek	13		sucos_shape_pocket_qcov	
zikv-rdrp-x0498a__1__1.A__1.X	zikv-rdrp-x0498a__1__1.X	2wrm__1__1.A__1.C_1.D	2wrm__1__1.D	1.A:1.A	foldseek	60		sucos_shape_pocket_qcov	
zikv-rdrp-x0176a__1__1.A__1.X	zikv-rdrp-x0176a__1__1.X	1nb6__1__1.A__1.C_1.D_1.E	1nb6__1__1.E	1.A:1.A	foldseek	18		sucos_shape_pocket_qcov	
zikv-rdrp-x0354a__1__1.A__1.X	zikv-rdrp-x0354a__1__1.X	6xd1__1__1.A__1.D	6xd1__1__1.D	1.A:1.A	foldseek	33		sucos_shape_pocket_qcov	
zikv-rdrp-x0184a__1__1.A__1.X	zikv-rdrp-x0184a__1__1.X	2hwi__2__1.B__1.D	2hwi__2__1.D	1.A:1.B	foldseek	11		sucos_shape_pocket_qcov	
zikv-rdrp-x5204a__1__1.A__1.X	zikv-rdrp-x5204a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	56		sucos_shape_pocket_qcov	
zikv-rdrp-x0892a__1__1.A__1.X	zikv-rdrp-x0892a__1__1.X	2e9r__1__1.C__1.A_1.B_1.E	2e9r__1__1.E	1.A:1.C	foldseek	18		sucos_shape_pocket_qcov	
zikv-rdrp-x0107b__1__1.A__1.X	zikv-rdrp-x0107b__1__1.X	2o5d__2__1.B__1.D	2o5d__2__1.D	1.A:1.B	foldseek	36		sucos_shape_pocket_qcov	
denv2-rdrp-x0210b__1__1.A__1.X	denv2-rdrp-x0210b__1__1.X	2hwi__1__1.A__1.C	2hwi__1__1.C	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
zikv-rdrp-x0910b__1__1.A__1.X	zikv-rdrp-x0910b__1__1.X	4nru__5__1.E__1.P	4nru__5__1.P	1.A:1.E	foldseek	13		sucos_shape_pocket_qcov	
zikv-rdrp-o0340a__1__1.A__1.X	zikv-rdrp-o0340a__1__1.X	5i3q__1__1.A__1.D	5i3q__1__1.D	1.A:1.A	foldseek	33		sucos_shape_pocket_qcov	
zikv-rdrp-x1040b__1__1.A__1.X	zikv-rdrp-x1040b__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.E	1.A:1.A	foldseek	19		sucos_shape_pocket_qcov	
zikv-rdrp-x2153a__1__1.A__1.X	zikv-rdrp-x2153a__1__1.X	5jjs__1__1.A__1.E	5jjs__1__1.E	1.A:1.A	foldseek	85		sucos_shape_pocket_qcov	
denv2-rdrp-x0160b__1__1.A__1.X	denv2-rdrp-x0160b__1__1.X	7d4f__1__1.D__1.G	7d4f__1__1.G	1.A:1.D	foldseek	53		sucos_shape_pocket_qcov	
denv2-rdrp-x0153b__1__1.A__1.X	denv2-rdrp-x0153b__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	50		sucos_shape_pocket_qcov	
zikv-rdrp-x0581b__1__1.A__1.X	zikv-rdrp-x0581b__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	5		sucos_shape_pocket_qcov	
zikv-rdrp-x0471a__1__1.A__1.X	zikv-rdrp-x0471a__1__1.X	5jjs__1__1.A__1.E	5jjs__1__1.E	1.A:1.A	foldseek	36		sucos_shape_pocket_qcov	
zikv-rdrp-x0900a__1__1.A__1.X	zikv-rdrp-x0900a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.E	1.A:1.A	foldseek	19		sucos_shape_pocket_qcov	
zikv-rdrp-x1089a__1__1.A__1.X	zikv-rdrp-x1089a__1__1.X	4wtd__1__1.C__1.A_1.B_1.D_1.E_1.F	4wtd__1__1.A	1.A:1.C	foldseek	40		sucos_shape_pocket_qcov	
zikv-rdrp-x1764a__1__1.A__1.X	zikv-rdrp-x1764a__1__1.X	4wta__1__1.C__1.A_1.B_1.D_1.E_1.H	4wta__1__1.A	1.A:1.C	foldseek	32		sucos_shape_pocket_qcov	
zikv-rdrp-x0653a__1__1.A__1.X	zikv-rdrp-x0653a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	42		sucos_shape_pocket_qcov	
denv2-rdrp-x1351b__1__1.A__1.X	denv2-rdrp-x1351b__1__1.X	1hht__1__1.D__1.A	1hht__1__1.A	1.A:1.D	foldseek	30		sucos_shape_pocket_qcov	
denv2-rdrp-o0239a__1__1.A__1.X	denv2-rdrp-o0239a__1__1.X	6izx__1__1.A__1.M	6izx__1__1.M	1.A:1.A	foldseek	58		sucos_shape_pocket_qcov	
denv2-rdrp-x0587a__1__1.A__1.X	denv2-rdrp-x0587a__1__1.X	5hmx__1__1.A__1.E	5hmx__1__1.E	1.A:1.A	foldseek	36		sucos_shape_pocket_qcov	
denv2-rdrp-x1149a__1__1.A__1.X	denv2-rdrp-x1149a__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	50		sucos_shape_pocket_qcov	
denv2-rdrp-x1196a__1__1.A__1.X	denv2-rdrp-x1196a__1__1.X	3gyn__1__1.A__1.C	3gyn__1__1.C	1.A:1.A	foldseek	63		sucos_shape_pocket_qcov	
zikv-rdrp-x0480a__1__1.A__1.X	zikv-rdrp-x0480a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	41		sucos_shape_pocket_qcov	
zikv-rdrp-x0904a__1__1.A__1.X	zikv-rdrp-x0904a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	55		sucos_shape_pocket_qcov	
denv2-rdrp-o0484a__1__1.A__1.X	denv2-rdrp-o0484a__1__1.X	4mib__1__1.A__1.D	4mib__1__1.D	1.A:1.A	foldseek	52		sucos_shape_pocket_qcov	
denv2-rdrp-x1351c__1__1.A__1.X	denv2-rdrp-x1351c__1__1.X	4nrt__1__1.A__1.B	4nrt__1__1.B	1.A:1.A	foldseek	31		sucos_shape_pocket_qcov	
zikv-rdrp-x0184b__1__1.A__1.X	zikv-rdrp-x0184b__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	6		sucos_shape_pocket_qcov	
5f3z-a__1__1.A__1.X	5f3z-a__1__1.X	5f3z__1__1.A__1.D	5f3z__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
zikv-rdrp-x0625b__1__1.A__1.X	zikv-rdrp-x0625b__1__1.X	3g86__1__1.A__1.C	3g86__1__1.C	1.A:1.A	foldseek	14		sucos_shape_pocket_qcov	
zikv-rdrp-x0702a__1__1.A__1.X	zikv-rdrp-x0702a__1__1.X	3nl0__1__1.A__1.B_1.C_1.D_1.E	3nl0__1__1.B	1.A:1.A	foldseek	20		sucos_shape_pocket_qcov	
zikv-rdrp-x5937a__1__1.A__1.X	zikv-rdrp-x5937a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	52		sucos_shape_pocket_qcov	
zikv-rdrp-x1070a__1__1.A__1.X	zikv-rdrp-x1070a__1__1.X	3kmq__1__1.A__1.B_1.C	3kmq__1__1.B	1.A:1.A	foldseek	33		sucos_shape_pocket_qcov	
zikv-rdrp-x5910a__1__1.A__1.X	zikv-rdrp-x5910a__1__1.X	4jtz__1__1.A__1.D	4jtz__1__1.D	1.A:1.A	foldseek	43		sucos_shape_pocket_qcov	
denv2-rdrp-x1597a__1__1.A__1.X	denv2-rdrp-x1597a__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	40		sucos_shape_pocket_qcov	
zikv-rdrp-x0483a__1__1.A__1.X	zikv-rdrp-x0483a__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
zikv-rdrp-x0922c__1__1.A__1.X	zikv-rdrp-x0922c__1__1.X	5hmx__1__1.A__1.E	5hmx__1__1.E	1.A:1.A	foldseek	22		sucos_shape_pocket_qcov	
denv2-rdrp-x0479a__1__1.A__1.X	denv2-rdrp-x0479a__1__1.X	6xd1__1__1.A__1.D	6xd1__1__1.D	1.A:1.A	foldseek	28		sucos_shape_pocket_qcov	
denv2-rdrp-x0781a__1__1.A__1.X	denv2-rdrp-x0781a__1__1.X	4jty__1__1.A__1.D	4jty__1__1.D	1.A:1.A	foldseek	37		sucos_shape_pocket_qcov	
denv2-rdrp-x0376a__1__1.A__1.X	denv2-rdrp-x0376a__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	38		sucos_shape_pocket_qcov	
5hmx-b__1__1.A__1.X	5hmx-b__1__1.X	5hmx__1__1.A__1.D	5hmx__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
denv2-rdrp-x1430a__1__1.A__1.X	denv2-rdrp-x1430a__1__1.X	5i3p__1__1.A__1.D	5i3p__1__1.D	1.A:1.A	foldseek	41		sucos_shape_pocket_qcov	
